['0', '984', '359', '982', '473', '622', '191', '764', '752', '177', '923', '16', '797', '854', '256', '595', '336', '414', '696', '1', '63', '939', '989', '844', '617', '74', '904', '342', '356', '504', '663', '730', '918', '365', '94', '682', '185', '21', '405', '281', '977', '409', '381', '438', '641', '53', '450', '8', '163', '762']
['10', '486', '604', '114', '413', '265', '590', '506', '690', '395', '830', '938', '6', '385', '229', '763', '462', '713', '244', '304', '986', '553', '346', '596', '968', '255', '499', '324', '307', '209', '497', '36', '826', '32', '566', '471', '740', '73', '878', '537', '893', '315', '485', '863', '695', '888', '819', '280', '572', '378']
['100', '164', '147', '387', '782', '227', '847', '707', '980', '166', '511', '894', '440', '3', '78', '287', '905', '597', '480', '822', '148', '77', '79', '433', '870', '882', '283', '456', '228', '812', '855', '925', '201', '889', '544', '978', '997', '610', '458', '423', '675', '234', '969', '318', '680', '103', '659', '139', '634', '660']
['109', '625', '447', '996', '801', '470', '771', '294', '427', '558', '744', '495', '296', '833', '242', '247', '460', '136', '517', '971', '820', '347', '846', '152', '710', '412', '87', '892', '507', '647', '323', '468', '285', '313', '175', '721', '398', '556', '802', '656', '160', '993', '115', '615', '922', '171', '362', '728', '198', '866']
['111', '479', '666', '532', '766', '122', '45', '353', '472', '759', '716', '284', '714', '876', '988', '312', '465', '176', '37', '303', '13', '796', '651', '746', '814', '942', '734', '172', '627', '189', '426', '104', '44', '964', '754', '343', '985', '253', '825', '614', '364', '693', '101', '684', '937', '461', '834', '276', '410', '919']
['112', '691', '15', '269', '799', '320', '704', '167', '330', '436', '838', '384', '611', '337', '733', '837', '571', '271', '900', '24', '275', '264', '967', '664', '963', '703', '288', '569', '535', '39', '411', '567', '207', '851', '258', '226', '914', '221', '72', '775', '4', '82', '646', '186', '184', '686', '311', '903', '950', '295']
['119', '840', '67', '897', '491', '665', '774', '635', '300', '932', '584', '934', '561', '455', '370', '602', '68', '720', '457', '202', '587', '618', '129', '770', '153', '257', '896', '731', '552', '791', '344', '856', '947', '401', '756', '340', '827', '216', '995', '520', '192', '451', '341', '352', '225', '753', '949', '598', '930', '367']
['12', '75', '107', '267', '633', '54', '550', '467', '636', '127', '541', '551', '944', '811', '477', '864', '404', '850', '789', '676', '915', '750', '653', '761', '790', '667', '573', '51', '50', '390', '14', '528', '559', '196', '481', '421', '706', '34', '508', '489', '662', '217', '140', '992', '698', '815', '208', '786', '360', '677']
['120', '608', '205', '106', '80', '683', '466', '945', '435', '187', '624', '418', '38', '406', '243', '443', '56', '487', '649', '65', '987', '279', '831', '302', '375', '245', '736', '632', '868', '158', '768', '953', '645', '729', '887', '725', '643', '371', '58', '807', '916', '235', '843', '81', '126', '83', '911', '619', '266', '976']
['123', '464', '722', '578', '505', '891', '71', '95', '425', '474', '705', '363', '102', '512', '522', '927', '661', '348', '386', '496', '448', '144', '62', '403', '823', '928', '678', '739', '388', '630', '48', '747', '805', '594', '274', '366', '350', '90', '251', '555', '180', '908', '310', '813', '195', '194', '28', '282', '654', '773']
['124', '839', '672', '958', '946', '603', '523', '316', '231', '857', '577', '748', '483', '151', '871', '490', '875', '568', '91', '780', '642', '727', '860', '957', '40', '317', '921', '576', '709', '23', '981', '309', '449', '444', '607', '238', '391', '408', '527', '524', '809', '803', '345', '88', '125', '113', '574', '273', '983', '862']
